System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
GJ_0367,TEP,146.12433,-45.7765,9.98,5.78,0.0256,0.02,2458544.135,0.0004,0.321962,0.000011,3522,70,70,-0.01,0.12,0.12,0.454,0.011,0.011,0.457,0.013,0.013,4.777,0.026,0.026,4.76,0.33,0.39,0,-1,-1,0.0071,0.0002,0.0002,0.0017,0.0002,0.00002,0.0641,0.0048,0.0048,-1,-1,-1,6.1,1.6,1.6,1745,43,43,-999,-999,-999,-999,-999,-999
GJ_0436,TEP,175.54621,26.70656,10.68,6.07,0.04189,0.6,2455475.825,0.00003,2.64389759,0.00000007,3416,54,54,-0.03,0.2,0.2,0.507,0.071,0.062,0.455,0.018,0.018,4.83,0.03,0.03,5.37,0.3,0.27,0.1616,0.0041,0.0032,0.0308,0.0013,0.0012,0.0799,0.0066,0.0063,0.366,0.014,0.014,13,1,1,1.55,0.12,0.1,669,22,22,114,23,17,103,13,12
GJ_0486,TEP,191.98592,9.75139,11.4,6.36,0.04512,0.13,2459309.677,0.0001,1.4671205,0.0000012,3291,75,75,-0.15,0.13,0.13,0.333,0.019,0.019,0.339,0.015,0.015,4.82,0.12,0.12,-1,-1,-1,0,-1,-1,0.01713,0.00091,0.00098,0.0094,0.0004,0.0004,0.1198,0.0056,0.0055,16.3,1.7,1.7,5.11,0.81,0.69,706,19,20,-999,-999,-999,-999,-999,-999
GJ_0806,TEP,311.26708,44.49906,10.7,6.53,0.0388,0.1,2459445.574,0.00015,0.9263237,0.0000009,3600,16,16,-0.28,0.07,0.07,0.413,0.011,0.011,0.4144,0.0038,0.0038,4.98,0.12,0.12,6.09,0.32,0.33,-1,-1,-1,0.01406,0.0003,0.0003,0.006,0.0005,0.0005,0.1187,0.0021,0.0021,10.4,1,1,3.32,0.34,0.34,940,10,10,-999,-999,-999,-999,-999,-999
GJ_1132,TEP,153.71604,-47.15681,13.49,8.32,0.0326,0.3,2457554.325,0.00009,1.6289292,0.0000004,3270,140,140,-0.12,0.15,0.15,0.181,0.019,0.019,0.2105,0.0102,0.0085,-1,-1,-1,19.4,2.6,2.5,0,0.22,0,0.0153,0.0005,0.0005,0.0052,0.0007,0.0007,0.1008,0.005,0.005,12.9,2.2,2.2,4.7,1,1,529,9,9,-999,-999,-999,-999,-999,-999
GJ_1214,TEP,258.82892,4.96381,14.67,8.78,0.0365,1.4,2455701.413,0.000063,1.58040433,0.00000013,3250,100,100,0.29,0.12,0.12,0.178,0.01,0.01,0.215,0.008,0.008,5.026,0.04,0.04,18,2.5,2.1,0,0.063,0,0.01411,0.00032,0.00032,0.0257,0.0014,0.0014,0.2446,0.0045,0.0047,10.65,0.71,0.67,1.66,0.13,0.12,596,19,19,-999,-999,-999,-999,-999,-999
GJ_1252,TEP,306.92533,-56.457,12.19,7.92,0.0302,0.08,2458668.097,0.00032,0.5182416,0.00000069,3458,140,133,0.1,0.1,0.1,0.381,0.019,0.019,0.391,0.02,0.02,-1,-1,-1,-1,-1,-1,0,-1,-1,0.00916,0.00076,0.00076,0.0042,0.0009,0.0009,0.1053,0.007,0.007,-1,-1,-1,-1,-1,-1,997,53,49,-999,-999,-999,-999,-999,-999
GJ_3090,TEP,20.43913,-46.71439,11.4,7.29,0.0539,0.15,2458370.418,0.0003,2.8531054,0.0000023,3556,70,70,-0.06,0.12,0.12,0.519,0.013,0.013,0.516,0.016,0.016,-1,-1,-1,3.79,0.38,0.38,0.18,0.12,0.12,0.0317,0.0014,0.0014,0.0104,0.0023,0.0023,0.193,0.009,0.009,6.9,1.7,1.6,1.36,0.38,0.32,692,18,18,-999,-999,-999,-999,-999,-999
GJ_3470,TEP,119.77446,15.3915,12.27,7.99,0.07992,0.7,2456340.726,0.0001,3.33665266,0.0000003,3725,54,54,0.42,0.019,0.019,0.476,0.019,0.019,0.474,0.018,0.018,4.65,0.06,0.06,3.39,0.3,0.32,0.017,0.016,0.012,0.03557,0.00096,0.001,0.0432,0.0051,0.0051,0.346,0.029,0.029,6.8,1.7,1.7,0.89,0.25,0.25,604,98,98,101,29,14,97,16,11
GJ_3473,TEP,120.59533,3.33881,13.69,8.83,0.043,0.1,2458492.204,0.00043,1.1980035,0.0000019,3347,54,54,0.11,0.19,0.19,0.36,0.016,0.016,0.364,0.012,0.012,4.81,0.06,0.06,7.75,0.47,0.49,0,-1,-1,0.01589,0.00062,0.00062,0.0059,0.0009,0.0009,0.1128,0.0045,0.0044,11.4,2.1,2,3.79,0.81,0.7,773,16,15,-999,-999,-999,-999,-999,-999
GJ_3929,TEP,239.57833,35.40675,12.68,7.87,0.0495,0.1,2459320.058,0.00019,2.6162745,0.0000003,3369,51,51,0,0.16,0.16,0.309,0.014,0.014,0.315,0.01,0.01,4.84,0.04,0.04,10.6,0.33,0.42,0,-1,-1,0.02569,0.00088,0.00088,0.0038,0.0013,0.0013,0.1026,0.0036,0.0035,9,3.1,3.1,3.3,1.2,1.2,569,9,9,-999,-999,-999,-999,-999,-999
GJ_9827b,TEP,351.77017,-1.28628,10.51,7.19,0.06792,0.06,2457738.826,0.00026,1.2089819,0.000007,4305,49,49,-0.5,0.08,0.08,0.606,0.02,0.014,0.602,0.005,0.004,4.72,0.1,0.1,3.47,0.27,0.73,0,-1,-1,0.0188,0.0002,0.00014,0.0154,0.0015,0.0015,0.1407,0.0024,0.0028,13.95,3.91,2.98,5.22,0.62,0.57,1114,46,26,-999,-999,-999,-999,-999,-999
GJ_9827c,TEP,351.77017,-1.28628,10.51,7.19,0.09125,0.04,2457742.199,0.00073,3.648096,0.000063,4305,49,49,-0.5,0.08,0.08,0.606,0.02,0.014,0.602,0.005,0.004,4.72,0.1,0.1,3.47,0.27,0.73,0,-1,-1,0.03925,0.00042,0.00029,0.0026,0.0021,0.0026,0.1107,0.0021,0.0023,8.87,4.46,3.69,1.8,1.5,1.8,771,32,18,-999,-999,-999,-999,-999,-999
GJ_9827d,TEP,351.77017,-1.28628,10.51,7.19,0.06667,0.08,2457740.961,0.00045,6.20147,0.000062,4305,49,49,-0.5,0.08,0.08,0.606,0.02,0.014,0.602,0.005,0.004,4.72,0.1,0.1,3.47,0.27,0.73,0,-1,-1,0.05591,0.00059,0.00041,0.0127,0.0026,0.0026,0.1804,0.0041,0.0038,5.34,2.19,1.75,2.02,0.44,0.43,646,26,15,-999,-999,-999,-999,-999,-999
GPX-1,BD,38.36921,56.02572,12.27,11.18,0.087,0.9,2458770.238,0.0004,1.744579,0.000008,7000,200,200,0.35,0.1,0.1,1.68,0.1,0.1,1.56,0.1,0.1,4.27,0.05,0.05,0.44,0.1,0.1,0,-1,-1,0.0338,0.0003,0.0003,19.7,1.6,1.6,1.47,0.1,0.1,234,35,30,6.2,1.3,1,2300,48,48,-999,-999,-999,-999,-999,-999
HAT-P-01,TEP,344.44512,38.67494,10.4,8.86,0.11875,1.7,2456288.492,0.000063,4.46529962,0.00000039,5975,50,50,0.13,0.05,0.05,1.151,0.019,0.019,1.174,0.026,0.027,4.359,0.014,0.014,0.644,0.013,0.016,0,-1,-1,0.05561,0.00082,0.00083,0.525,0.019,0.019,1.319,0.019,0.019,7.46,0.17,0.17,0.213,0.008,0.007,1322,14,15,3.7,2.1,2.1,-999,-999,-999
HAT-P-02,TEP,245.1515,41.04808,8.71,7.6,0.1787,0.6,2455288.85,0.00039,5.6334675,0.0000013,6290,60,60,0.14,0.08,0.08,1.279,0.046,0.046,1.68,0.15,0.15,4.092,0.074,0.074,0.268,0.07,0.07,0.5091,0.0005,0.0005,0.0674,0.00081,0.00081,8.74,0.27,0.27,1.19,0.12,0.12,152,30,30,5.1,1.5,1.5,1516,66,66,0.2,12.2,12.5,-999,-999,-999
HAT-P-03,TEP,206.09412,48.02867,11.86,9.45,0.08646,1.5,2457150.395,0.00058,2.89973838,0.00000027,5190,80,80,0.24,0.08,0.08,0.925,0.045,0.045,0.85,0.023,0.023,4.545,0.023,0.023,1.51,0.11,0.11,0,-1,-1,0.03878,0.00065,0.00065,0.595,0.024,0.024,0.911,0.034,0.034,17.8,1.2,1.2,0.735,0.075,0.075,1170,17,17,21.2,8.7,8.7,-999,-999,-999
HAT-P-04,TEP,229.99137,36.22969,11,9.77,0.1775,0.9,2454245.815,0.0002,3.0565254,0.0000012,6036,46,46,0.277,0.007,0.007,1.271,0.12,0.07,1.6,0.116,0.041,4.134,0.017,0.038,0.31,0.016,0.041,0,-1,-1,0.04465,0.0014,0.00082,0.68,0.046,0.029,1.337,0.079,0.035,9.42,0.44,0.91,0.266,0.018,0.038,1691,46,26,-4.9,11.9,11.9,-999,-999,-999
HAT-P-05,TEP,274.40542,36.62136,12,10.48,0.1217,1.5,2455432.455,0.0001,2.7884736,0.00000052,5960,100,100,0.24,0.15,0.15,1.163,0.069,0.069,1.137,0.033,0.033,4.392,0.02,0.03,0.791,0.05,0.05,0,-1,-1,0.04079,0.0008,0.0008,1.06,0.11,0.11,1.252,0.043,0.043,16.7,1.9,1.9,0.504,0.067,0.067,1517,29,29,-999,-999,-999,-999,-999,-999
HAT-P-06,TEP,354.77421,42.46597,10.54,9.31,0.1461,1,2454035.676,0.00025,3.853003,0.0000014,6570,80,80,-0.13,0.08,0.08,1.295,0.068,0.068,1.518,0.071,0.071,4.188,0.035,0.035,0.37,0.045,0.045,0,-1,-1,0.05244,0.00092,0.00092,1.063,0.057,0.057,1.395,0.081,0.081,13.5,1.6,1.6,0.366,0.064,0.064,1704,40,40,165,6,6,-999,-999,-999
HAT-P-07,TEP,292.24733,47.96953,10.46,9.33,0.1643,0.67,2454954.359,0.000006,2.20473539,0.00000001,6310,15,15,0.32,0.04,0.04,1.59,0.03,0.03,2.02,0.01,0.01,4.029,0.003,0.003,0.1919,0.0025,0.0025,0.0016,0.0034,0.001,0.03805,0.00036,0.00036,1.87,0.03,0.03,1.526,0.008,0.008,20.77,0.33,0.33,0.5,0.01,0.01,2194,27,27,220.3,8.2,9.3,115,19,16
HAT-P-08,TEP,343.04108,35.44711,10.3,8.95,0.1587,0.7,2454437.674,0.0014,3.0763458,0.0000024,6200,80,80,0.01,0.08,0.08,1.192,0.075,0.075,1.475,0.034,0.034,4.177,0.022,0.022,0.517,0.035,0.035,0,-1,-1,0.0439,0.00091,0.00091,1.275,0.053,0.053,1.321,0.04,0.04,18.11,0.82,0.82,0.371,0.022,0.022,1713,27,27,-17,9.2,11.5,-999,-999,-999
HAT-P-09,TEP,110.16867,37.14061,12.3,11.02,0.143,1.3,2454417.908,0.0006,3.922814,0.000002,6350,150,150,0.12,0.2,0.2,1.28,0.1,0.1,1.339,0.08,0.08,4.293,0.046,0.046,0.534,0.082,0.082,0,-1,-1,0.0529,0.0014,0.0014,0.778,0.083,0.083,1.38,0.1,0.1,10.1,1.7,1.7,0.275,0.066,0.066,1540,53,53,-16,8,8,-999,-999,-999
HAT-P-11,TEP,297.70938,48.08086,9.47,7.01,0.098,0.43,2454957.813,0.000005,4.88780244,0.00000003,4780,50,50,0.31,0.05,0.05,0.802,0.028,0.028,0.683,0.009,0.009,4.663,0.012,0.012,2.415,0.097,0.097,0.2644,0.0006,0.0006,0.05259,0.00062,0.00062,0.0873,0.0097,0.0097,0.389,0.0053,0.0053,13.2,1.1,1.1,1.26,0.12,0.12,838,10,10,133.9,7.1,8.3,104.9,8.6,9.1
HAT-P-12,TEP,209.38946,43.49356,12.8,10.11,0.0974,2,2456446.636,0.000036,3.21305766,0.00000013,4665,45,45,-0.2,0.09,0.09,0.691,0.023,0.023,0.679,0.013,0.013,4.614,0.012,0.012,2.205,0.077,0.077,0,-1,-1,0.03767,0.00063,0.00063,0.201,0.012,0.012,0.919,0.023,0.023,5.89,0.34,0.34,0.242,0.017,0.017,955,11,11,-54,41,13,-999,-999,-999
HAT-P-13,TEP,129.88254,47.35203,10.62,8.97,0.1345,0.8,2454779.93,0.00033,2.916242,0.0000005,5653,90,90,0.41,0.08,0.08,1.32,0.062,0.062,1.756,0.046,0.046,4.07,0.02,0.02,0.244,0.013,0.013,0.0133,0.0041,0.0041,0.04383,0.00068,0.00068,0.906,0.03,0.03,1.487,0.041,0.041,10.15,0.43,0.43,0.257,0.017,0.017,1725,31,31,1.9,8.6,8.6,-999,-999,-999
HAT-P-14,TEP,260.11613,38.24219,10,8.85,0.0907,0.5,2459729.707,0.000094,4.6276594,0.000001,6600,90,90,0.11,0.08,0.08,1.418,0.054,0.054,1.591,0.056,0.056,4.187,0.025,0.025,0.352,0.031,0.031,0.107,0.013,0.013,0.06108,0.00077,0.00077,2.271,0.083,0.083,1.219,0.059,0.059,37.9,3.7,3.7,1.17,0.17,0.17,1624,32,32,189.1,5.1,5.1,-999,-999,-999
HAT-P-15,TEP,66.248,39.46061,12.16,9.64,0.2285,1.3,2454638.56,0.00048,10.863502,0.000037,5620,20,20,0.24,0.1,0.1,1.02,0.066,0.06,1.092,0.049,0.05,4.371,0.047,0.045,1.11,0.18,0.15,0.2,0.026,0.028,0.0964,0.0014,0.0014,1.946,0.066,0.066,1.072,0.043,0.043,41.7,2.9,2.9,1.48,0.17,0.17,904,20,20,13,6,6,-999,-999,-999
HAT-P-16,TEP,9.57317,42.46306,10.8,9.55,0.1276,1,2455027.593,0.00019,2.7759682,0.0000002,6140,72,72,0.12,0.08,0.08,1.216,0.055,0.055,1.158,0.025,0.025,4.396,0.016,0.016,0.784,0.04,0.04,0.036,0.004,0.004,0.0413,0.00062,0.00062,4.193,0.128,0.128,1.19,0.037,0.037,73.4,4.1,4.1,2.33,0.2,0.2,1567,22,22,-2,55,46,-999,-999,-999
HAT-P-17,TEP,324.537,30.48872,10.54,8.54,0.1663,1.5,2454801.169,0.00015,10.3385378,0.0000006,5350,20,20,0.02,0.09,0.09,0.886,0.038,0.038,0.86,0.024,0.024,4.516,0.027,0.027,1.39,0.12,0.12,0.3417,0.0036,0.0036,0.0892,0.0013,0.0013,0.558,0.018,0.018,1.015,0.041,0.041,13.4,1,1,0.499,0.058,0.058,800,11,11,-27.5,6.7,6.7,-999,-999,-999
HAT-P-18,TEP,256.347,33.0125,12.76,10.23,0.1131,1.9,2454715.023,0.00039,5.5080291,0.0000042,4870,50,50,0.1,0.06,0.06,0.77,0.027,0.027,0.717,0.026,0.026,4.613,0.031,0.031,2.08,0.21,0.21,0.009,0.03,0.009,0.0559,0.0007,0.0007,0.196,0.008,0.008,0.947,0.044,0.044,5.42,0.55,0.55,0.216,0.032,0.032,841,15,15,132,15,15,-999,-999,-999
HAT-P-19,TEP,9.51675,34.71158,12.9,10.55,0.11804,2.2,2455091.535,0.0001,4.00878388,0.00000015,4969,47,48,0.243,0.049,0.049,0.845,0.037,0.035,0.792,0.021,0.025,4.567,0.03,0.022,1.69,0.18,0.11,0.084,0.041,0.041,0.04649,0.00062,0.00059,0.284,0.017,0.017,1.064,0.031,0.034,6.24,0.48,0.44,0.221,0.023,0.02,986,16,18,-999,-999,-999,-999,-999,-999
HAT-P-20,TEP,111.9165,24.33639,11.34,8.6,0.077,1.9,2456670.978,0.0001,2.875317,0.0000004,4595,45,45,0.22,0.09,0.09,0.748,0.042,0.042,0.68,0.006,0.006,4.643,0.02,0.02,1.67,0.11,0.11,0.0172,0.0016,0.0016,0.03593,0.00029,0.00029,7.22,0.36,0.36,1.025,0.053,0.053,170.2,7.6,7.3,6.26,0.29,0.29,964,10,10,-8,6.9,6.9,36,10,12
HAT-P-21,TEP,171.2745,41.02794,11.69,10.11,0.153,1.1,2454996.412,0.0006,4.12449009,0.0000009,5695,45,45,0.04,0.09,0.09,0.998,0.04,0.04,1.248,0.05,0.05,4.245,0.033,0.033,0.513,0.058,0.058,0.217,0.01,0.01,0.05037,0.00067,0.00067,4.23,0.16,0.16,1.13,0.057,0.057,82.1,8.1,8.1,2.74,0.4,0.4,1367,27,27,-0.7,12.5,12.5,-999,-999,-999
HAT-P-22,TEP,155.68129,50.12833,9.73,7.84,0.1196,1.5,2456366.089,0.00025,3.212233,0.0000004,5314,50,50,0.3,0.09,0.09,0.936,0.043,0.043,1.062,0.048,0.048,4.357,0.039,0.039,0.781,0.099,0.099,0.016,0.009,0.009,0.04171,0.00065,0.00065,2.192,0.077,0.077,1.06,0.073,0.073,48.3,6.6,6.6,1.72,0.35,0.35,1293,29,29,-2.1,3,3,24,18,18
HAT-P-23,TEP,306.12496,16.76214,12.43,10.79,0.0908,1.8,2456539.39,0.00004,1.21288643,0.00000004,5885,72,72,0.13,0.08,0.08,1.104,0.047,0.047,1.089,0.028,0.028,4.407,0.018,0.018,0.855,0.051,0.051,0,-1,-1,0.02302,0.00032,0.00032,2.07,0.12,0.12,1.224,0.037,0.037,34.3,2.4,2.4,1.057,0.097,0.097,1951,30,30,15,22,22,-999,-999,-999
HAT-P-24,TEP,108.825,14.26261,11.75,10.54,0.1539,1.2,2455592.765,0.00023,3.3552454,0.0000007,6373,80,80,-0.16,0.08,0.08,1.186,0.042,0.041,1.294,0.071,0.062,4.286,0.038,0.039,0.545,0.078,0.072,0.052,0.022,0.017,0.04641,0.00054,0.00054,0.681,0.031,0.03,1.243,0.072,0.061,10.9,1.1,1.1,0.354,0.056,0.053,1624,44,41,20,16,16,-999,-999,-999
HAT-P-25,TEP,48.43546,25.19742,13.19,10.81,0.113,1.9,2457006.913,0.00021,3.65281591,0.00000067,5500,80,80,0.31,0.08,0.08,1.012,0.053,0.051,0.919,0.034,0.034,4.516,0.026,0.025,1.3,0.12,0.11,0.023,0.022,0.014,0.0466,0.00081,0.0008,0.569,0.022,0.023,1.135,0.048,0.048,10.94,0.86,0.78,0.364,0.044,0.038,1182,25,25,-999,-999,-999,-999,-999,-999
HAT-P-26,TEP,213.15642,4.06003,11.74,9.58,0.1023,0.6,2455304.652,0.00025,4.23450236,0.00000003,5100,20,20,0.05,0.1,0.1,0.796,0.03,0.03,0.916,0.063,0.063,4.416,0.063,0.063,1.04,0.22,0.22,0.124,0.06,0.06,0.04748,0.0006,0.0006,0.0577,0.007,0.007,0.652,0.055,0.055,3.37,0.69,0.69,0.195,0.055,0.055,1080,39,39,-999,-999,-999,-999,-999,-999
HAT-P-27,TEP,222.76746,5.94736,12.16,10.11,0.0705,1.5,2455186.02,0.00044,3.0395803,0.0000015,5316,55,55,0.3,0.03,0.03,0.945,0.035,0.035,0.898,0.054,0.039,4.51,0.04,0.04,-1,-1,-1,0.078,0.047,0.047,0.0403,0.0005,0.0005,0.66,0.033,0.033,1.038,0.077,0.058,15.1,1.7,1.7,0.59,0.1,0.1,1207,41,41,24.2,76,44.5,-999,-999,-999
HAT-P-28,TEP,13.00075,34.72842,13.03,11.1,0.1341,1.5,2457713.934,0.0005,3.2572124,0.0000012,5680,90,90,0.12,0.08,0.08,1.025,0.047,0.047,1.103,0.091,0.069,4.36,0.06,0.06,-1,-1,-1,0.051,0.033,0.033,0.0434,0.0007,0.0007,0.626,0.037,0.037,1.212,0.113,0.082,10.5,1.5,1.5,0.35,0.07,0.07,1384,52,52,-999,-999,-999,-999,-999,-999
HAT-P-29,TEP,33.13108,51.77875,11.9,10.3,0.1463,0.9,2455838.596,0.00065,5.7233746,0.0000034,6140,30,30,0.25,0.08,0.08,1.206,0.049,0.054,1.272,0.032,0.044,4.311,0.026,0.02,0.586,0.049,0.039,0.104,0.021,0.018,0.06667,0.00091,0.001,0.773,0.05,0.05,1.105,0.031,0.037,15.7,1.3,1.2,0.536,0.056,0.053,1281,23,26,-26,16,16,-999,-999,-999
HAT-P-30,TEP,123.94992,5.83675,10.36,9.15,0.09404,1.3,2455765.633,0.00018,2.8106019,0.0000007,6338,42,42,0.12,0.03,0.03,1.242,0.041,0.041,1.215,0.051,0.051,4.36,0.03,0.03,-1,-1,-1,0.035,0.024,0.024,0.0419,0.0005,0.0005,0.711,0.028,0.028,1.417,0.033,0.033,9.8,0.9,0.9,0.28,0.04,0.04,1630,42,42,73.5,9,9,-999,-999,-999
HAT-P-31,TEP,271.5375,26.42667,11.66,10.08,0.214,0.51,2458169.941,0.0017,5.0052724,0.0000063,6065,100,100,0.15,0.08,0.08,1.218,0.089,0.063,1.36,0.27,0.18,4.26,0.11,0.13,0.49,0.17,0.18,0.245,0.0045,0.0045,0.055,0.015,0.015,2.171,0.105,0.077,1.07,0.24,0.16,41,17,21,1.64,0.93,0.7,1450,230,110,-999,-999,-999,-999,-999,-999
HAT-P-32,TEP,31.04279,46.68783,11.29,9.99,0.12959,3,2454420.447,0.000051,2.1500082,0.00000003,6269,64,64,-0.04,0.08,0.08,1.182,0.049,0.049,1.225,0.017,0.017,4.335,0.005,0.005,0.6435,0.0032,0.0032,0,-1,-1,0.03448,0.00048,0.00048,0.585,0.031,0.031,1.807,0.026,0.026,-1,-1,-1,0.102,0.012,0.012,1801,18,18,85,1.5,1.5,-999,-999,-999
HAT-P-33,TEP,113.18417,33.83506,11.19,10,0.1839,1.2,2456035.138,0.00027,3.47447472,0.00000088,6446,88,88,0.07,0.08,0.08,1.375,0.04,0.04,1.637,0.034,0.034,4.15,0.01,0.01,-1,-1,-1,0,-1,-1,0.0499,0.0005,0.0005,0.762,0.101,0.101,1.686,0.045,0.045,6.6,1,1,0.15,0.02,0.02,1782,28,28,-5.9,4.1,4.1,-999,-999,-999
HAT-P-34,TEP,303.19533,18.10486,10.16,9.25,0.1455,0.8,2456462.147,0.00041,5.452647,0.0000031,6442,88,88,0.22,0.04,0.04,1.392,0.047,0.047,1.535,0.135,0.102,4.21,0.06,0.06,-1,-1,-1,0.441,0.032,0.032,0.0677,0.0008,0.0008,3.328,0.211,0.211,1.197,0.128,0.092,58,11,11,1.81,0.47,0.47,1520,60,60,0,14,14,-999,-999,-999
HAT-P-35,TEP,123.25075,4.787,12.46,11.03,0.164,1.2,2456836.758,0.00041,3.6466566,0.0000012,6178,45,45,0.12,0.03,0.03,1.236,0.048,0.048,1.435,0.084,0.084,4.21,0.04,0.04,-1,-1,-1,0.025,0.018,0.018,0.0498,0.0006,0.0006,1.054,0.033,0.033,1.332,0.098,0.098,14.8,2.1,2.1,0.41,0.08,0.08,1581,45,45,-999,-999,-999,-999,-999,-999
HAT-P-36,TEP,188.26625,44.91533,12.26,10.6,0.0923,1.9,2458490.654,0.000032,1.32734683,0.00000001,5620,40,40,0.25,0.09,0.09,1.03,0.042,0.042,1.041,0.016,0.016,4.416,0.011,0.011,0.913,0.027,0.027,0,0.095,0,0.02388,0.00032,0.00032,1.852,0.095,0.095,1.304,0.025,0.025,27,1.4,1.4,0.737,0.095,0.095,1788,15,15,-14,18,18,0,63,0
HAT-P-37,TEP,284.29604,51.26911,13.23,11.67,0.0971,2.1,2457625.531,0.000056,2.79744121,0.00000015,5500,100,100,0.03,0.1,0.1,0.929,0.043,0.043,0.877,0.059,0.077,4.52,0.05,0.05,-1,-1,-1,0.058,0.038,0.038,0.0379,0.0006,0.0006,1.169,0.103,0.103,1.178,0.077,0.07,21,3,3,0.67,0.14,0.14,1271,47,47,-999,-999,-999,-999,-999,-999
HAT-P-38,TEP,35.38321,32.24614,12.56,10.5,0.1267,1.2,2457491.876,0.00009,4.6403293,0.0000017,5330,100,100,0.06,0.1,0.1,0.886,0.044,0.044,0.923,0.096,0.067,4.45,0.08,0.08,-1,-1,-1,0.067,0.047,0.047,0.0523,0.0009,0.0009,0.267,0.02,0.02,0.825,0.092,0.063,9.8,1.8,1.8,0.44,0.12,0.12,1082,55,55,-999,-999,-999,-999,-999,-999
HAT-P-39,TEP,113.75821,17.83008,12.42,11.16,0.1745,1.1,2455208.75,0.00041,3.54387,0.000005,6340,100,100,0.19,0.1,0.1,1.404,0.051,0.051,1.625,0.081,0.062,4.16,0.03,0.03,-1,-1,-1,0,-1,-1,0.0509,0.0006,0.0006,0.599,0.099,0.099,1.571,0.108,0.081,5.9,1.3,1.3,0.14,0.03,0.03,1752,43,43,-999,-999,-999,-999,-999,-999
HAT-P-40,TEP,335.51387,45.45739,11.34,10.01,0.2557,0.4,2455813.176,0.00054,4.457243,0.00001,6080,100,100,0.22,0.1,0.1,1.512,0.045,0.109,2.206,0.061,0.061,3.93,0.02,0.02,-1,-1,-1,0,-1,-1,0.0608,0.0006,0.0015,0.615,0.038,0.038,1.73,0.062,0.062,5.13,0.35,0.35,0.11,0.01,0.01,1770,33,33,-999,-999,-999,-999,-999,-999
HAT-P-41,TEP,297.3225,4.67242,11.36,9.73,0.1704,0.8,2456600.293,0.0005,2.69404861,0.00000092,6390,100,100,0.21,0.1,0.1,1.418,0.047,0.047,1.683,0.058,0.036,4.14,0.02,0.02,-1,-1,-1,0,-1,-1,0.0426,0.0005,0.0005,0.8,0.102,0.102,1.685,0.076,0.051,6.9,1,1,0.15,0.02,0.02,1941,38,38,-22.1,0.8,6,-999,-999,-999
HAT-P-42,TEP,135.34442,6.09722,12.17,10.63,0.168,0.8,2456036.08,0.00077,4.6418381,0.000008,5743,50,50,0.27,0.08,0.08,1.178,0.068,0.068,1.53,0.14,0.14,4.14,0.07,0.07,-1,-1,-1,0,0.2,0,0.0575,0.0011,0.0011,1.044,0.083,0.083,1.28,0.153,0.153,15.8,3.7,3.7,0.46,0.26,0.11,1428,60,60,-999,-999,-999,-999,-999,-999
HAT-P-43,TEP,128.92575,10.20667,13.36,11.76,0.1355,1.7,2456147.342,0.0003,3.332683,0.0000019,5645,74,74,0.23,0.08,0.08,1.048,0.031,0.042,1.103,0.041,0.021,4.37,0.02,0.02,-1,-1,-1,0,0.29,0,0.0443,0.0004,0.0006,0.662,0.06,0.06,1.281,0.062,0.033,10,1.2,1.2,0.29,0.04,0.04,1361,25,25,-999,-999,-999,-999,-999,-999
HAT-P-44,TEP,213.144,47.01469,13.21,11.28,0.1302,2.1,2456204.478,0.00019,4.3011886,0.000001,5295,100,100,0.33,0.1,0.1,0.942,0.041,0.041,0.949,0.08,0.037,4.46,0.06,0.06,-1,-1,-1,0.044,0.052,0.052,0.0507,0.0007,0.0007,0.352,0.029,0.029,1.242,0.106,0.061,5.62,0.69,0.84,0.17,0.03,0.03,1108,51,32,-999,-999,-999,-999,-999,-999
HAT-P-45,TEP,274.3725,-3.38103,12.79,10.2,0.1436,1.5,2456502.848,0.00033,3.1289923,0.0000014,6330,100,100,0.07,0.1,0.1,1.259,0.058,0.058,1.319,0.155,0.072,4.3,0.06,0.06,-1,-1,-1,0.049,0.063,0.063,0.0452,0.0007,0.0007,0.892,0.137,0.099,1.426,0.175,0.087,10.7,1.9,1.6,0.29,0.07,0.07,1652,90,52,-999,-999,-999,-999,-999,-999
HAT-P-46,TEP,270.444,-2.97094,11.94,9.93,0.1291,1,2455969.125,0.00044,4.4631365,0.000005,6120,100,100,0.3,0.1,0.1,1.284,0.095,0.095,1.396,0.293,0.136,4.25,0.11,0.11,-1,-1,-1,0.123,0.12,0.12,0.0577,0.0014,0.0009,0.493,0.082,0.052,1.284,0.271,0.133,7.3,1.9,1.5,0.21,0.08,0.08,1458,140,75,-999,-999,-999,-999,-999,-999
HAT-P-47,TEP,38.30821,30.3605,10.69,9.4,0.1287,0.8,2455661.637,0.00041,4.732182,0.000013,6703,50,50,0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,4.22,0.02,0.02,-1,-1,-1,0,0.202,0,0.0615,0.0006,0.0006,0.206,0.039,0.039,1.313,0.045,0.045,2.95,0.52,0.66,0.083,0.015,0.015,1605,22,22,-999,-999,-999,-999,-999,-999
